generation,max_fitness,avg_fitness,std_dev,val_avg_rally,val_win_rate
0,91.95000000000236,68.85000000000025,15.8227132485386,3.0,0.0
1,106.10000000000325,65.86000000000047,22.151036093150502,3.6,0.0
2,97.46000000000495,70.98923076923234,17.55147786896243,1.4,0.0
3,100.61000000000459,73.53038461538561,16.716974721707498,1.8,0.0
4,100.94000000000955,74.28040000000108,12.574802675724062,2.4,0.0
5,102.90000000000677,75.28120000000092,12.411881176251052,1.2,0.0
6,91.22000000000114,69.47730769230733,16.247414454661783,1.4,0.0
7,105.87000000000958,76.83192307692433,12.942762925816767,1.2,0.0
8,101.30000000000669,76.02461538461628,11.661723450939752,1.8,0.0
9,100.61000000000963,74.30038461538608,14.013884680780542,1.2,0.0
10,98.09000000000383,75.80240000000127,14.32494481664987,1.2,0.0
11,97.5000000000083,74.63615384615535,13.050370133273805,3.2,0.0
12,101.26000000000543,73.6076000000026,19.569172670301864,2.2,0.0
13,104.41000000000345,73.83500000000095,14.562731767144571,1.0,0.0
14,102.73000000000724,73.75200000000143,17.54491640523689,1.6,0.0
15,94.43000000000404,71.49500000000054,16.280264187047116,1.2,0.0
16,141.24000000001087,78.91840000000215,22.50122638880345,2.2,0.0
17,107.120000000007,77.86320000000197,16.04086181184729,2.4,0.0
18,129.27000000001806,78.54153846154139,21.11794340220352,1.8,0.0
19,127.4400000000212,79.13320000000351,21.385026833438896,3.6,0.0
20,100.60000000001146,76.53000000000227,19.443645337232606,0.8,0.0
21,134.51000000001738,75.7137500000025,22.398163125871967,3.4,0.0
22,105.87000000000926,73.14541666666854,18.295985299507876,0.0,0.0
23,113.70000000001076,76.61416666666877,22.84281961516894,2.4,0.0
24,119.05000000001807,75.67541666666865,20.221797533136172,2.2,0.0
25,101.38000000000673,73.64454545454629,16.50156146357074,1.4,0.0
26,107.2800000000076,78.90909090909288,15.450909946728665,1.8,0.0
27,112.05000000000591,77.80818181818348,18.616455505399223,2.2,0.0
28,102.3900000000066,81.03050000000233,15.957622324871698,1.8,0.0
29,113.6300000000112,86.90800000000368,15.427718595202549,1.6,0.0
30,97.16000000000315,78.99400000000226,12.517778262601512,1.4,0.0
31,112.34000000000921,80.56150000000216,17.757181875455284,3.2,0.0
32,118.87000000001142,83.88388888889136,14.039258878920878,2.2,0.0
33,98.88000000000932,81.0970588235324,14.851408083373007,1.6,0.0
34,101.36000000000524,80.2862500000021,13.468120321711405,2.6,0.0
35,105.1800000000055,86.81125000000398,12.033567980171057,2.0,0.0
36,111.8200000000134,87.98571428571834,15.00067368450991,3.0,0.0
37,116.570000000011,86.26857142857625,13.608020744088092,2.4,0.0
38,120.010000000012,86.61400000000349,19.16887708993593,3.2,0.0
39,106.5100000000107,89.47400000000447,10.045751119534078,1.0,0.0
40,124.97000000001177,86.96500000000268,18.227114875010358,1.6,0.0
41,131.18000000001848,100.11100000000974,17.912405663865755,3.2,0.0
42,129.9900000000152,85.40000000000313,21.17901424629193,4.0,0.0
43,148.19000000000395,93.36700000000351,25.132026513331073,2.6,0.0
44,106.01000000001115,94.66500000000477,10.026341140551786,2.2,0.0
45,119.84000000001268,91.85600000000615,11.755728816201925,1.2,0.0
46,125.18000000001263,93.07400000000409,14.452678490704317,1.4,0.0
47,106.1200000000064,92.70300000000523,7.738064716424022,1.6,0.0
48,127.28000000001428,96.52100000000537,17.93809506175612,1.6,0.0
49,105.28000000000739,92.5740000000047,11.954621793360925,1.6,0.0
