generation,max_fitness,avg_fitness,std_dev
0,70.40000000000022,22.342000000000084,12.030828566645026
1,70.40000000000022,20.756862745098108,12.07986908937581
2,70.40000000000022,21.366000000000085,13.572731633683867
3,119.79999999999741,23.30769230769234,18.631041572042182
4,500.0000000000432,39.84423076923244,93.58059343003492
5,500.0000000000437,100.74117647059342,160.21757042574936
6,500.0000000000441,106.55294117647576,159.4622647020376
7,500.0000000000432,79.13725490196313,120.80174320387042
8,500.0000000000432,84.06037735849475,145.89558341580636
9,500.0000000000432,120.78235294118258,169.90390329610608
10,500.0000000000432,145.45490196079157,177.334803893806
11,500.00000000004405,122.74000000000541,162.51294102318312
12,500.0000000000432,175.2078431372658,200.1497388899321
13,500.0000000000432,75.90961538461721,114.42681782832054
14,500.0000000000432,126.64117647059273,151.8079297012776
15,500.0000000000432,153.05490196079236,184.16563763042217
16,500.0000000000432,186.9901960784433,205.34798800670197
17,500.00000000004377,131.56600000000512,157.52576501640613
18,500.00000000004377,189.66666666667655,188.50850884907817
19,500.00000000004377,195.81200000000965,182.89579070062254
20,500.00000000004377,225.890384615398,200.5517718116265
21,500.00000000004377,220.56938775511637,209.43105358507768
22,500.00000000004377,216.3173076923203,197.85285103326117
23,500.00000000004377,218.73877551021616,193.08479031650526
24,500.00000000004377,230.8647058823678,208.4887083259698
25,500.0000000000446,199.38653846155046,200.36484993138134
26,500.00000000004405,196.22115384616484,194.38077751646824
27,500.00000000004377,214.19375000001185,192.25707876680318
28,500.0000000000446,269.3960000000177,204.01228194402472
29,500.0000000000446,226.21632653062446,189.7709041449244
30,500.0000000000446,223.4865384615502,186.82999679764876
31,500.00000000004405,196.50000000001035,186.46597229397224
32,500.0000000000437,197.9862745098148,192.07639821902706
33,500.00000000004377,240.98235294119135,202.6354078440358
34,500.00000000004377,214.92040816327682,190.2256618878139
35,500.0000000000432,237.0607843137418,215.0302715382767
36,500.00000000004377,192.49019607844187,191.7829300454838
37,500.0000000000432,193.42800000001054,193.01702105256663
38,500.0000000000432,195.59400000001014,187.12300062794677
39,500.00000000004377,259.3020000000162,200.69716240148526
40,500.00000000004377,198.35600000000943,179.9998323999398
41,500.00000000004377,253.57551020409664,196.0493102597376
42,500.0000000000435,201.36122448980495,175.85706024872238
43,500.00000000004377,193.9244897959289,190.5094882533212
44,500.00000000004377,218.90200000001212,192.67913793664238
45,500.0000000000432,218.62040816327786,196.91732542593073
46,500.0000000000432,205.1480000000127,202.68465579813304
47,500.00000000004377,238.0420000000132,190.25929999873108
48,500.0000000000437,203.63600000000994,182.02134903358504
49,500.00000000004405,217.5306122449081,177.49260427719418
