generation,max_fitness,avg_fitness,std_dev,val_avg_rally,val_win_rate
0,89.21000000000171,80.21187500000158,9.996080044198141,1.2,0.0
1,95.3500000000073,63.626470588236224,22.030037999622095,1.2,0.0
2,90.08000000000234,69.80055555555604,14.586161641704967,1.0,0.0
3,96.07000000000352,70.42055555555612,16.852269692563755,0.4,0.0
4,101.99000000000788,71.94000000000062,15.216708309116568,1.2,0.0
5,97.8100000000094,80.24722222222444,13.026398899954598,1.0,0.0
6,107.94000000000891,70.73166666666772,16.852110096541054,1.8,0.0
7,89.9000000000039,71.16055555555589,13.315718474673849,1.2,0.0
8,97.55000000000545,76.15235294117797,14.829692566526385,1.6,0.0
9,107.25000000001,76.72666666666774,10.347581701000069,1.8,0.0
10,91.31000000000309,68.58294117647172,22.289118355351533,0.8,0.0
11,95.11000000000855,70.56555555555715,20.48262340223986,1.0,0.0
12,89.57000000000242,72.12222222222279,13.711300000819016,1.0,0.0
13,92.27000000000713,79.43294117647211,15.183207732849485,1.0,0.0
14,96.14000000000208,74.99117647058985,14.948435905787653,1.8,0.0
15,95.17000000000623,77.17277777777878,10.763635295349069,1.4,0.0
16,89.21000000000335,74.71055555555682,12.054893793771685,0.8,0.0
17,100.29000000000882,74.90941176470778,19.52815514538983,1.4,0.0
18,93.38000000000274,71.51444444444466,13.277191509468643,1.2,0.0
19,98.01000000000539,72.71111111111165,17.229808605298047,44.4,0.0
20,90.59000000000407,71.17882352941214,17.852912536319398,1.0,0.0
21,103.72000000000725,78.62062500000104,15.019101379578133,1.4,0.0
22,112.25000000000715,74.66500000000057,18.378418865616958,43.6,0.0
23,92.6900000000054,74.03285714285873,17.964629961965997,1.4,0.0
24,93.97000000000152,78.51750000000192,14.000778630946202,1.8,0.0
25,92.92000000000894,81.78250000000286,6.263171031007417,1.2,0.0
26,97.12000000000502,80.28583333333644,10.411006813888463,1.2,0.0
27,91.170000000006,80.73416666666843,13.655202444048301,1.6,0.0
28,88.85000000000156,78.78900000000087,6.1315204748371395,1.0,0.0
29,97.9100000000042,87.23800000000358,5.986883440768484,1.6,0.0
30,83.49000000000476,72.46750000000017,11.179723674072228,0.6,0.0
31,100.9300000000047,85.49750000000161,8.764576022671125,0.6,0.0
32,86.83000000000123,79.16750000000157,6.420215283440518,1.4,0.0
33,92.00000000000496,81.72000000000205,7.174126128965146,1.0,0.0
34,97.4200000000043,83.67625000000268,8.774269098580502,1.2,0.0
35,97.17000000000193,87.38000000000184,6.548687982010575,0.2,0.0
36,94.49000000000142,81.99375000000144,8.157970576594494,13.8,0.0
37,101.26000000000833,84.85000000000353,9.088502941317092,53.0,0.0
38,91.00000000000357,83.77000000000228,6.96885110432827,0.6,0.0
39,87.83000000000501,84.3050000000045,4.598248113605861,1.0,0.0
40,89.59000000000489,81.11000000000216,9.43952783323006,3.4,0.0
41,91.69000000000472,81.93875000000197,5.940679224034415,0.6,0.0
42,93.33000000000101,89.03166666667018,3.2524170499278333,1.4,0.0
43,99.19000000000419,93.13000000000427,5.271299649992893,1.4,0.0
44,95.7600000000063,89.5125000000036,6.088882628750584,2.8,0.0
45,99.83000000000509,91.98500000000368,7.740630895908316,2.2,0.0
46,116.82000000001264,100.97250000000606,12.035592701100542,5.8,0.0
47,105.79000000000643,100.14500000000737,6.206236111096173,5.0,0.0
48,207.84999999998053,148.7175000000029,50.64751614507257,53.0,0.0
49,99.79000000000593,84.62833333333658,15.700697330589044,3.0,0.0
