generation,max_fitness,avg_fitness,std_dev
0,82.89999999999927,31.7780000000001,24.35669345375103
1,82.89999999999927,32.26666666666678,23.8830374350538
2,82.89999999999927,36.705882352941245,26.74723670363485
3,82.89999999999927,38.72799999999992,28.481018521113022
4,82.89999999999927,37.48333333333336,27.71924972930449
5,82.89999999999927,31.834615384615496,24.84416728185901
6,82.89999999999927,37.14117647058831,25.519544040356106
7,82.89999999999927,31.218367346938795,24.84754062046093
8,82.89999999999927,31.245833333333422,25.086649490095073
9,82.89999999999927,44.2580000000001,26.517587295981368
10,82.89999999999927,40.88653846153859,24.831718463769274
11,82.89999999999927,34.73076923076922,28.018109105894563
12,82.89999999999927,40.934615384615356,28.441396459111584
13,82.89999999999927,42.60784313725486,29.690513723272804
14,82.89999999999927,41.43673469387747,29.633700436878573
15,82.89999999999927,34.84081632653065,27.03745639503087
16,82.89999999999927,25.34200000000002,23.9267138571095
17,82.89999999999927,40.240000000000116,26.01415768384583
18,82.89999999999927,37.416666666666664,27.242012081015787
19,82.89999999999927,33.33061224489795,28.625464645237805
20,82.89999999999927,38.15098039215695,25.825434890319258
21,82.89999999999927,38.111764705882344,27.19448219017385
22,82.89999999999927,34.831250000000104,25.30103058054151
23,82.89999999999927,36.72745098039216,28.49414854572123
24,82.89999999999927,39.47346938775503,30.55988951464007
25,82.89999999999927,44.34399999999983,32.40701257444106
26,82.89999999999927,43.13529411764689,32.10766705534683
27,120.09999999999721,45.807843137254686,33.076150066037805
28,82.89999999999927,35.762000000000086,25.72381690185178
29,82.89999999999927,43.821999999999925,30.429987117972704
30,82.89999999999927,47.10612244897945,31.107013502524026
31,82.89999999999927,37.349999999999945,30.205530950473083
32,82.89999999999927,43.59803921568618,30.94513481477061
33,82.89999999999927,49.33599999999979,31.837448138944477
34,82.89999999999927,36.77450980392148,30.591693369133154
35,82.89999999999927,32.35599999999997,28.398719407747784
36,82.89999999999927,39.72745098039204,31.658787947216116
37,82.89999999999927,36.33799999999993,29.929336043420438
38,82.89999999999927,45.69387755102015,34.95077242533907
39,82.89999999999927,48.88799999999976,33.392086727246905
40,82.89999999999927,40.41599999999982,33.550876948300186
41,82.89999999999927,35.44693877551012,31.141645468176947
42,82.89999999999927,30.859999999999992,27.65723051934145
43,82.89999999999927,44.06938775510186,32.32189631283704
44,82.89999999999927,37.506122448979426,32.90934615814201
45,82.89999999999927,39.34599999999983,31.887785812125305
46,82.89999999999927,35.89607843137239,33.35033268954952
47,82.89999999999927,42.41399999999974,34.531684059715026
48,82.89999999999927,41.21176470588216,33.36237546826954
49,82.89999999999927,39.90999999999981,33.4770921676298
