generation,max_fitness,avg_fitness,std_dev,val_avg_rally,val_win_rate
0,95.7600000000026,72.55791666666747,16.474959122248418,1.2,0.0
1,94.65000000000413,58.91700000000054,26.089715880723784,1.0,0.0
2,101.30000000000682,64.52615384615522,22.934360261744043,1.2,0.0
3,89.2100000000017,72.45680000000073,15.465303833637039,1.0,0.0
4,91.3300000000017,69.38519999999961,11.168960754401668,1.8,0.0
5,95.81000000000257,69.33200000000015,20.313845647736287,1.6,0.0
6,98.1400000000059,65.42192307692461,19.509435259737938,1.6,0.0
7,97.81000000000269,71.27923076923075,13.272514734768722,1.0,0.0
8,88.0200000000017,69.22399999999962,11.507604369866668,2.4,0.0
9,93.25000000000617,63.721153846153726,16.73414074924222,1.6,0.0
10,105.14000000000314,69.52384615384673,15.693331851950244,1.8,0.0
11,98.83000000000362,70.22576923077044,17.74788757527713,4.0,0.0
12,129.12000000001467,71.43730769230972,21.74149922295281,3.0,0.0
13,98.14000000000526,67.87269230769354,19.081964166762678,1.4,0.0
14,97.5400000000071,59.6980769230773,28.97864275900269,1.4,0.0
15,95.8600000000056,63.614615384616165,18.883172875504915,4.0,0.0
16,91.95000000000617,67.8496153846162,17.609013937361492,1.4,0.0
17,88.02000000001084,67.97153846153968,21.754752251830293,0.8,0.0
18,93.71000000000215,73.6857692307699,13.764696341898556,4.8,0.0
19,95.76000000000568,69.84538461538513,17.75067958829216,1.8,0.0
20,113.9900000000087,69.36863636363648,14.997006779278353,4.0,0.0
21,111.92000000000763,71.03714285714412,20.403561733889845,3.8,0.0
22,108.44000000000682,66.99842105263144,17.466105672658532,6.8,0.0
23,104.00000000000693,67.92117647058957,23.32098140150873,31.2,0.0
24,97.86000000000399,69.93277777777905,18.549266611651177,6.6,0.0
25,131.66000000001873,79.56888888889142,24.808495197957885,1.6,0.0
26,107.89000000000782,80.77687500000248,16.04904180681055,33.6,0.0
27,159.32000000000386,87.3085714285735,23.183808958026564,9.4,0.0
28,99.89000000000567,79.0978571428602,14.148280775455952,21.2,0.0
29,107.19000000000764,81.37500000000175,8.873895814303511,24.8,0.0
30,88.64000000000401,77.00416666666769,7.73206365295553,26.0,0.0
31,105.24000000000767,80.56800000000226,17.309771036424202,53.0,0.0
32,202.9899999999732,104.89599999999878,44.776774287065415,53.0,0.0
33,100.26000000000502,80.38900000000166,12.955822757871646,53.0,0.0
34,112.96000000001166,83.3380000000021,19.790891732201516,2.4,0.0
35,137.34000000000887,82.82500000000144,23.042893939592016,43.4,0.0
36,110.72000000000895,81.10400000000347,18.229177588571897,53.0,0.0
37,184.70000000000024,105.14500000000297,43.08275686267972,16.4,0.0
38,141.59000000000987,92.67900000000373,20.8145197451768,17.8,0.0
39,192.69999999999314,100.67199999999875,49.18712677113288,43.8,0.0
40,194.12999999998053,100.86700000000161,36.578169886174564,48.0,0.0
41,184.83999999999756,102.23500000000111,38.98945391598235,43.0,0.0
42,110.05000000001002,85.60800000000407,19.058475396647403,1.2,0.0
43,139.11000000001187,92.24900000000336,19.934980673293126,8.4,0.0
44,144.00000000000995,94.15600000000424,20.698020409908953,53.0,0.0
45,108.13000000000832,86.78600000000311,16.169061815706307,2.2,0.0
46,150.25000000000443,93.77100000000348,28.929320170989193,53.0,0.0
47,202.68999999998522,100.73700000000248,42.685270956928335,26.6,0.0
48,195.12999999997785,107.97799999999867,47.002976926989206,27.2,0.0
49,150.93000000001038,98.41900000000422,28.325190771155984,25.8,0.0
