generation,max_fitness,avg_fitness,std_dev
0,45.800000000000395,19.906000000000077,11.056950935949846
1,45.700000000000394,19.982352941176543,10.349513692891852
2,45.800000000000395,22.041509433962368,12.374340980542929
3,45.700000000000394,21.184615384615462,9.162242432425266
4,33.50000000000022,18.36296296296302,9.442443506264679
5,45.800000000000395,20.273469387755174,10.041765344233875
6,45.800000000000395,21.018867924528372,8.85891633995979
7,45.800000000000395,21.135849056603863,11.933860093529495
8,45.700000000000394,18.6407407407408,9.894527453364253
9,45.700000000000394,20.920408163265378,9.269149611872807
10,45.700000000000394,24.28518518518529,9.61301986327056
11,127.49999999999699,22.711320754716983,19.39956875981825
12,90.89999999999905,25.00980392156871,13.71744638246019
13,127.49999999999699,23.247169811320774,18.991364510015764
14,127.49999999999699,22.755999999999986,20.704629047630537
15,90.89999999999905,22.556000000000072,15.653346734804032
16,127.49999999999699,24.548000000000048,19.606307556498
17,119.49999999999743,25.088461538461576,20.99583890868099
18,127.49999999999699,26.556603773584975,18.559740456809404
19,500.0000000000432,34.75094339622726,67.91425121415001
20,500.0000000000432,32.207547169812216,66.59428228915023
21,394.5000000000206,34.64705882352984,55.677099009331094
22,500.0000000000432,76.5500000000041,140.711191534577
23,500.0000000000432,42.90200000000091,81.69751646164549
24,500.0000000000432,48.0959183673486,97.38580745440235
25,500.00000000004377,75.30800000000359,135.16340013481081
26,500.0000000000432,87.02448979592215,143.0154430516975
27,500.0000000000432,92.7714285714328,150.46286680014413
28,500.00000000004377,142.91600000000858,188.81321707975417
29,500.0000000000432,85.36200000000231,122.59492630611716
30,500.0000000000432,104.12000000000418,148.5759240254067
31,500.0000000000432,114.08039215686605,139.04949185150872
32,500.0000000000435,170.22745098040147,189.09318283711295
33,500.0000000000432,116.84509803921922,143.66944401173416
34,500.0000000000432,157.37800000000763,177.27694073399695
35,500.0000000000441,138.9333333333408,178.32400525358028
36,500.0000000000432,170.2880000000102,194.9465061395229
37,500.0000000000432,185.90400000001085,197.06697436152837
38,500.00000000004377,180.2784313725597,197.94456672408484
39,500.0000000000432,155.456000000008,182.13302848194766
40,500.0000000000432,143.02448979592603,180.6570553428614
41,500.0000000000432,167.41400000000908,186.99712619183893
42,500.0000000000437,178.02000000001007,192.1391204310218
43,500.0000000000432,183.7280000000109,198.15622729555432
44,500.0000000000432,219.37800000001505,215.46070852015836
45,500.00000000004377,223.47000000001444,208.91342345576535
46,500.00000000004377,257.714285714304,218.25129683792906
47,500.00000000004377,176.03725490196913,178.06944444078727
48,500.00000000004377,210.45000000001087,188.14584688482222
49,500.0000000000432,212.784000000013,203.17994424649206
