generation,max_fitness,avg_fitness,std_dev,val_avg_rally,val_win_rate
0,95.39000000000635,74.56181818182034,16.06305214322327,1.2,0.0
1,101.8000000000071,69.07440000000035,17.74940094763934,0.6,0.0
2,91.3100000000053,69.71192307692465,18.316161392439927,0.6,0.0
3,98.86000000000699,73.06730769230882,13.143383600184462,0.8,0.0
4,115.51000000000653,65.10153846153862,19.95099911128534,3.2,0.0
5,101.30000000000717,72.18307692307803,14.814049755347817,1.8,0.0
6,119.71000000001148,71.7756000000009,19.890272555534132,0.8,0.0
7,93.98000000000533,69.17520000000118,17.38563178796609,1.2,0.0
8,86.4700000000061,68.05153846153891,12.104935751110128,1.0,0.0
9,92.45000000000638,72.99307692307784,13.376508892602589,0.8,0.0
10,95.35000000000281,69.27807692307726,15.700345224035281,1.2,0.0
11,96.73000000000623,66.67076923077026,21.64219802572529,2.4,0.0
12,96.78000000000624,69.85923076923194,18.513066504084655,0.8,0.0
13,94.70000000000705,71.19692307692434,15.0350616278719,0.8,0.0
14,95.12000000000276,69.2624000000004,16.146091704600718,0.8,0.0
15,93.6100000000054,72.74080000000161,20.32619716031622,0.6,0.0
16,83.45000000000267,63.58800000000011,14.165143839721935,1.2,0.0
17,97.50000000000297,70.65800000000141,17.76638211154402,1.2,0.0
18,102.68000000000868,67.37692307692359,19.619354682402307,1.8,0.0
19,88.710000000004,68.60360000000068,15.455582292493412,1.8,0.0
20,93.430000000009,72.19521739130519,15.187337988532056,1.0,0.0
21,90.2600000000043,70.7766666666678,16.419976610339262,1.0,0.0
22,90.31000000000435,67.23791666666678,15.321944472800348,1.0,0.0
23,88.88000000000093,67.6190476190481,15.086230776693334,1.2,0.0
24,96.04000000000569,68.80950000000124,21.38135672791489,1.2,0.0
25,97.12000000000262,74.1582352941188,16.01433273481094,1.2,0.0
26,95.1200000000078,74.9181250000016,13.989722998807418,0.8,0.0
27,87.2100000000037,76.44937500000181,12.155533976343193,0.8,0.0
28,93.010000000012,78.23437500000266,11.692175713558738,0.8,0.0
29,86.83000000000399,71.18625000000023,12.124159283568911,1.4,0.0
30,97.42000000000532,71.89375000000013,11.550321135508165,0.6,0.0
31,95.07000000000339,76.71312500000191,11.266300024855775,0.6,0.0
32,89.95000000000223,71.30000000000139,16.11699268887922,1.0,0.0
33,102.68000000000637,76.60187500000093,11.126730708076321,1.8,0.0
34,99.56000000000688,79.33562500000338,20.932360583159028,0.8,0.0
35,89.26000000000002,75.1257142857153,9.11987998764395,1.0,0.0
36,92.69000000000575,80.39357142857367,7.672544064234383,0.6,0.0
37,97.50000000000972,78.33928571428778,11.863495699827956,1.0,0.0
38,99.92000000000594,85.26666666666992,8.328187987284338,0.6,0.0
39,90.78000000000692,78.99250000000173,10.115209183117123,1.2,0.0
40,92.27000000000324,85.69000000000267,3.7908515607393327,0.8,0.0
41,91.26000000000401,75.22500000000055,14.93422337377611,1.4,0.0
42,98.55000000001128,85.59200000000439,8.811870529136366,1.8,0.0
43,85.23000000000893,77.03600000000183,6.813327136333654,1.4,0.0
44,93.74000000000659,82.78900000000314,8.979271747261295,1.4,0.0
45,91.9600000000094,81.03750000000284,6.174064995726821,1.0,0.0
46,90.57000000000261,87.07000000000306,3.3002908962695785,1.4,0.0
47,89.31000000000407,83.13666666666833,5.065892484715242,1.0,0.0
48,96.73000000000826,85.22833333333627,11.32634348175642,1.2,0.0
49,96.0400000000057,83.6850000000026,6.770875128078416,1.8,0.0
