generation,max_fitness,avg_fitness,std_dev
0,80.49999999999964,19.480000000000054,13.508649081236833
1,33.50000000000022,19.986792452830265,10.203921512827545
2,45.700000000000394,19.766666666666726,8.669315834426513
3,33.50000000000022,18.446938775510258,8.991858041421088
4,33.50000000000022,19.338297872340494,10.07939869009193
5,33.50000000000022,20.900000000000073,9.058782393983192
6,33.50000000000022,18.515686274509857,9.205185506838149
7,45.700000000000394,22.876470588235392,9.826546442888
8,45.700000000000394,19.280769230769298,10.06137011738734
9,34.10000000000023,19.594339622641577,9.53330636370617
10,45.700000000000394,21.826923076923165,9.955673206473014
11,70.10000000000024,22.601818181818274,12.40726313545413
12,45.700000000000394,20.726415094339703,11.138716279536025
13,500.0000000000432,37.551923076923835,69.82696054805365
14,500.0000000000432,58.15882352941361,106.1630768805014
15,500.0000000000432,109.25384615385178,165.05638484323833
16,500.0000000000432,111.52641509434471,157.77330782086526
17,500.0000000000432,134.34339622642267,181.45255371266734
18,500.0000000000432,150.7113207547257,189.76877654422574
19,500.0000000000446,171.39454545455678,205.4578190889822
20,500.0000000000432,109.98703703704342,172.88071036744358
21,500.00000000004405,184.46800000001093,198.71380167468777
22,500.00000000004377,175.25800000001055,196.94533565435708
23,500.00000000004405,177.2780000000116,206.65481391926892
24,500.0000000000432,207.0880000000119,198.08027427284878
25,500.0000000000432,191.29200000000924,181.84396920438587
26,500.0000000000432,171.05294117647935,185.45822144925356
27,500.0000000000435,186.88800000000916,183.96133685099687
28,503.7000000000443,191.83061224490737,184.45189318527298
29,500.00000000004377,203.79803921569695,189.6059696361169
30,500.0000000000446,167.56200000000786,178.5114292027426
31,500.0000000000432,245.5346938775664,203.95116317297172
32,500.0000000000446,252.42040816328,193.64918625859613
33,500.0000000000432,142.97600000000457,151.4545787488912
34,500.00000000004377,196.1568627451083,187.6934184132579
35,500.0000000000432,218.9700000000125,197.2581671313191
36,500.0000000000432,200.85098039216655,180.42594523718435
37,500.0000000000446,262.18627450982115,207.19808464898432
38,500.00000000004377,239.43000000001507,203.69375469073287
39,500.0000000000432,217.53333333334456,187.24044483768324
40,500.0000000000432,206.420000000012,197.95535254194962
41,500.00000000004377,204.00800000001212,199.65164345932052
42,500.0000000000432,176.3160000000089,183.98893592824055
43,500.0000000000432,176.88600000000943,187.95179383024333
44,500.00000000004377,223.2280000000142,207.79438206074806
45,500.0000000000432,169.83800000000886,185.04595201194334
46,500.00000000004377,241.93800000001505,205.00762121445067
47,500.0000000000432,213.970000000014,209.99952309471627
48,500.0000000000432,149.28800000000908,190.15797710326714
49,500.00000000004377,254.38200000001802,217.13304924863206
