generation,max_fitness,avg_fitness,std_dev,val_avg_rally,val_win_rate
0,104.08000000000902,77.37150000000169,12.90906547027482,1.4,0.0
1,104.06000000000759,63.09684210526332,21.276178137541894,1.2,0.0
2,87.70000000000435,64.02772727272715,15.714322533409446,1.0,0.0
3,85.78000000000208,68.37136363636445,16.368054919919295,0.0,0.0
4,100.61000000000621,70.95863636363732,17.77540175567909,2.4,0.0
5,101.99000000000635,73.43409090909259,19.17787034680849,0.6,0.0
6,94.3800000000073,72.88545454545569,15.591727882278917,0.4,0.0
7,95.39000000000821,71.0622727272737,14.03385496095036,1.0,0.0
8,100.610000000006,74.12590909091035,15.23570076188528,2.4,0.0
9,97.2200000000089,71.5122727272733,14.506562696086055,0.4,0.0
10,107.25000000001138,70.92666666666744,13.092356676068844,3.0,0.0
11,83.02000000000291,69.73500000000003,11.58963031991956,0.8,0.0
12,89.4400000000036,64.51954545454583,19.39519564400705,0.8,0.0
13,90.44000000001004,66.18954545454606,15.117025871915164,1.2,0.0
14,88.90000000000192,68.05681818181932,19.702694373726175,1.4,0.0
15,94.30000000000769,72.25571428571462,12.544982491591375,0.6,0.0
16,88.21000000000511,68.22272727272875,14.844429829729807,1.2,0.0
17,94.43000000000976,73.4990909090915,11.890983742833859,0.8,0.0
18,98.15000000000451,71.75954545454672,19.44712892930881,1.6,0.0
19,91.64000000000367,67.61521739130521,15.49662892067714,1.2,0.0
20,92.64000000000316,67.07590909090946,16.09479231336836,0.6,0.0
21,96.63000000000584,74.27315789473893,15.184455887019208,1.4,0.0
22,91.24000000000096,73.17450000000001,12.513312269235573,1.6,0.0
23,103.03000000000976,79.6140000000022,14.288025682186225,1.2,0.0
24,104.11000000000986,74.71050000000068,15.186208589238353,1.0,0.0
25,87.79000000000157,70.62500000000016,11.034311860525346,1.6,0.0
26,95.40000000000263,76.32944444444611,13.12277834294027,1.4,0.0
27,88.52000000000112,72.48941176470623,14.174446404794068,1.2,0.0
28,101.94000000000965,78.44666666666912,13.608566938430158,1.2,0.0
29,102.68000000000688,78.03333333333649,18.155521279799487,1.2,0.0
30,107.12000000000788,75.44000000000209,20.9497470151822,1.6,0.0
31,100.98000000000857,74.83750000000097,16.557730319504298,1.6,0.0
32,106.1000000000101,78.6987500000023,15.531415421657528,1.6,0.0
33,101.76000000000417,73.13687500000124,18.633808957109938,1.2,0.0
34,122.13000000001531,78.04812500000409,24.110496529870424,1.8,0.0
35,106.56000000000999,76.9950000000026,21.081726228403443,1.2,0.0
36,94.02000000000426,73.33000000000068,14.988301592089368,1.4,0.0
37,98.1000000000015,74.78153846153978,19.139870186845876,2.4,0.0
38,98.18000000001007,78.42000000000264,18.213955765167725,2.4,0.0
39,113.94000000001506,79.35928571428907,17.326913464894204,1.6,0.0
40,111.46000000001233,84.23857142857479,15.269544276687231,1.4,0.0
41,96.72000000000448,77.65571428571623,12.428855207070518,2.2,0.0
42,127.58000000001022,79.7042857142882,25.789463177607903,3.2,0.0
43,106.20000000000923,80.9241666666692,17.745058445734145,3.2,0.0
44,107.80000000000905,79.49750000000292,23.262090160526714,3.2,0.0
45,109.70000000000667,86.97666666667097,15.06545979344649,3.0,0.0
46,109.53000000001227,83.20833333333583,14.769894339092954,3.0,0.0
47,98.79000000000536,86.02833333333596,11.060247271061233,2.6,0.0
48,98.46000000000531,83.26250000000132,8.328555615254993,2.4,0.0
49,112.2800000000069,77.63833333333496,18.53386033151171,1.4,0.0
