generation,max_fitness,avg_fitness,std_dev
0,82.89999999999927,27.816000000000155,22.191217722333434
1,120.09999999999721,39.48867924528321,23.06065554368862
2,82.89999999999927,30.78235294117663,21.916693484355697
3,120.09999999999721,35.769230769230845,24.525916735485414
4,82.89999999999927,37.525000000000084,25.40987750855942
5,82.89999999999927,36.56226415094348,26.68619335214996
6,82.89999999999927,39.7320754716982,23.984482197004912
7,82.89999999999927,38.0019230769231,26.06868509257055
8,82.89999999999927,38.78799999999996,28.91416704662243
9,82.89999999999927,38.801999999999964,29.323325118410207
10,139.19999999999612,38.21538461538448,32.21040434283564
11,82.89999999999927,36.18846153846151,28.938679557923887
12,82.89999999999927,35.77599999999998,27.61224771727192
13,82.89999999999927,40.019230769230724,29.49705355860209
14,82.89999999999927,38.42830188679246,27.692948338565152
15,82.89999999999927,37.05283018867924,28.548466593150152
16,82.89999999999927,40.66078431372539,30.666665036858415
17,82.89999999999927,38.46122448979583,30.760203658507447
18,82.89999999999927,51.337999999999795,31.524599220291122
19,82.89999999999927,39.87799999999994,31.150706508841623
20,82.89999999999927,35.83199999999992,29.7773836325488
21,82.89999999999927,40.88599999999989,32.10422408344398
22,82.89999999999927,38.78599999999992,29.350570761059895
23,82.89999999999927,29.838775510204094,27.831188028398074
24,2000.0999999993437,78.29411764704591,273.48539367502565
25,2000.0999999993437,130.9921568627202,385.347237778967
26,2000.6999999993443,233.72999999993445,589.4330218945729
27,2000.6999999993443,317.1859999999086,681.3720722216981
28,2000.6999999993443,369.6779999998957,715.3589603238767
29,2000.6999999993443,279.55599999992205,639.0948574849662
30,2000.6999999993443,314.89999999990874,682.2078384185353
31,2000.6999999993443,396.1799999998825,753.5992985663012
32,2001.099999999344,478.70199999987096,769.6497646303807
33,2000.6999999993443,361.62399999989594,719.022553904713
34,2000.6999999993443,361.0274509802909,713.137760548841
35,2000.6999999993443,598.1939999998328,840.0169342123529
36,2000.6999999993443,457.0119999998707,778.4686816151276
37,2000.6999999993443,479.3839999998716,770.7808703799027
38,2001.099999999344,611.7379999998179,871.3494148477344
39,2000.6999999993443,546.641999999845,824.9866787018693
40,2000.8999999993441,561.3979999998298,855.1777884133269
41,2000.6999999993443,357.39199999991064,673.3089973672552
42,2001.099999999344,407.64999999988294,750.7583630567319
43,2000.6999999993443,302.94999999992297,634.4552596517211
44,2000.7999999993442,502.37399999985723,801.8704613112814
45,2000.7999999993442,599.7019999998331,840.1660206146883
46,2000.7999999993442,439.56399999988554,743.4809481779824
47,2000.8999999993441,607.8659999998173,872.2402702486787
48,2000.8999999993441,560.5839999998306,856.680219769027
49,2000.7999999993442,474.4679999998726,774.5924751607128
