generation,max_fitness,avg_fitness,std_dev
0,82.89999999999927,36.86599999999997,30.05561252079201
1,82.89999999999927,36.68627450980396,27.179404108430013
2,82.89999999999927,35.58867924528305,26.78468064255244
3,82.89999999999927,37.258000000000074,26.24143357364444
4,82.89999999999927,36.175000000000075,27.21416398043198
5,82.89999999999927,40.75849056603774,27.741450724279638
6,82.89999999999927,42.64339622641506,28.036118950812746
7,82.89999999999927,36.601923076923086,27.373362194663382
8,82.89999999999927,37.988461538461664,24.141017232456186
9,119.19999999999726,40.15769230769229,28.424896631662378
10,156.5999999999952,38.367346938775526,30.659954522611198
11,156.5999999999952,42.19795918367338,33.72370019761629
12,82.89999999999927,38.025531914893755,24.10124449938613
13,119.19999999999726,42.89791666666675,27.90378177463364
14,138.69999999999615,32.34693877551023,26.851755554212303
15,82.89999999999927,36.93541666666676,26.106005771208746
16,138.69999999999615,31.909803921568624,27.87908946456642
17,138.69999999999615,37.26862745098046,27.77037842241145
18,138.69999999999615,35.49999999999999,28.640161024850833
19,138.69999999999615,33.378000000000014,27.95101636792445
20,138.69999999999615,41.317021276595696,29.216931255322553
21,119.19999999999726,34.350000000000094,24.367179218713694
22,119.19999999999726,41.321568627450965,29.23722656387287
23,100.99999999999824,39.0039215686275,27.55831578553041
24,119.19999999999726,33.98000000000005,26.559412644107695
25,119.39999999999725,34.05714285714287,28.63095940995832
26,119.19999999999726,41.210204081632625,30.53021417398433
27,82.89999999999927,39.912244897959184,28.07623464966908
28,119.19999999999726,46.82244897959171,32.34514293604988
29,119.19999999999726,46.50399999999978,34.56538708014078
30,344.2000000000103,49.81399999999987,58.37695096525728
31,138.39999999999617,46.84117647058796,36.60657916046724
32,205.89999999999245,50.3619999999996,41.80706586212326
33,205.89999999999245,43.97959183673437,43.993663642047586
34,119.29999999999725,36.00588235294113,30.457990430824243
35,138.39999999999617,44.13673469387743,32.254546864269855
36,82.89999999999927,47.06734693877534,31.48059582297338
37,119.19999999999726,38.21020408163252,32.78697629004606
38,119.19999999999726,39.26530612244883,34.09178218664095
39,119.19999999999726,42.5739999999997,36.8894988309676
40,119.39999999999725,34.64489795918355,31.801899963934503
41,138.39999999999617,45.946938775509956,35.36621298981714
42,119.39999999999725,37.56199999999983,32.36976298955515
43,138.99999999999613,42.079999999999906,31.925795213274924
44,138.99999999999613,44.36799999999996,30.783868762713624
45,138.59999999999616,46.87999999999979,33.4474812205638
46,138.99999999999613,52.535999999999724,34.89504125230342
47,138.59999999999616,40.099999999999795,36.21449985848154
48,138.99999999999613,46.08599999999964,37.6584758586955
49,138.59999999999616,47.05799999999982,34.863614786765304
