Generation,Best_Fitness,Avg_Fitness,Best_ELO,Species_Count,Timestamp
0,1363.7796022455864,1261.3869251836038,1363.7796022455864,4,2025-11-19 22:30:54
1,1480.2991498621113,1291.253253805636,1476.8438665287779,4,2025-11-19 22:30:55
2,1521.9347609017493,1318.4599935796994,1519.1954609017494,4,2025-11-19 22:30:56
3,1530.0121058032441,1317.407473953206,1529.322910565149,4,2025-11-19 22:30:57
4,1558.1182811581118,1311.5010780577686,1557.250492098287,5,2025-11-19 22:30:58
5,1559.4163344383624,1324.7312143114298,1558.9535578041214,5,2025-11-19 22:31:00
6,1558.7021649482638,1280.9380945182932,1558.1752319588645,5,2025-11-19 22:31:01
7,1588.0884578848445,1300.2071143765065,1587.4344766905372,5,2025-11-19 22:31:02
8,1614.9863942004235,1312.3800679364012,1614.9863942004235,5,2025-11-19 22:31:03
9,1633.7355656948675,1334.7876268806135,1633.0809651903937,5,2025-11-19 22:31:04
10,1637.9507434085913,1333.35741700701,1637.4957128746607,5,2025-11-19 22:31:05
11,1621.5585147707402,1320.8857124812678,1621.1458952399532,5,2025-11-19 22:31:06
12,1628.1031880208377,1328.8358821083455,1627.8416883324376,5,2025-11-19 22:31:07
13,1638.1786896323672,1326.7255786554874,1637.9794916773294,5,2025-11-19 22:31:08
14,1665.5467186603953,1347.2957586960651,1665.063385327062,5,2025-11-19 22:31:09
15,1677.8594647757511,1356.1083283975902,1675.5563147757512,5,2025-11-19 22:31:10
16,1697.170880757004,1357.770127808566,1696.753115548634,5,2025-11-19 22:31:11
17,1713.6250712038348,1353.670963891619,1713.2193938638347,5,2025-11-19 22:31:12
18,1715.4421452461936,1357.3001669312011,1714.633323503138,5,2025-11-19 22:31:13
19,1719.3920247793149,1366.2076083470233,1719.3920247793149,5,2025-11-19 22:31:14
20,1720.3410242071968,1364.2041470568547,1720.1123526609174,5,2025-11-19 22:31:15
21,1734.1972924341937,1364.2444082753364,1733.7212924341936,5,2025-11-19 22:31:16
22,1744.1330913613606,1392.709229293213,1744.1330913613606,4,2025-11-19 22:31:17
23,1757.2130947073376,1389.3858161047583,1757.2130947073376,4,2025-11-19 22:31:18
24,1770.5413972838437,1402.2128278472642,1769.9264401275102,4,2025-11-19 22:31:19
25,1750.0858275925084,1447.4789556091175,1749.668120731604,3,2025-11-19 22:31:20
26,1768.7369692006,1455.2609224956875,1768.7369692006,3,2025-11-19 22:31:21
27,1768.5183120895208,1477.0392070694843,1768.4472320895209,3,2025-11-19 22:31:22
28,1779.3783541682617,1553.4121810260074,1779.3783541682617,2,2025-11-19 22:31:23
29,1764.3462056328856,1531.076669165672,1764.1316189662189,2,2025-11-19 22:31:25
30,1773.4632665540748,1538.274616094369,1773.1016703874081,2,2025-11-19 22:31:26
31,1764.644057528538,1545.1119006102397,1764.4169410251257,2,2025-11-19 22:31:27
32,1763.081625586234,1548.1735975960526,1762.816921321366,2,2025-11-19 22:31:28
33,1761.7828521198594,1555.3137089953743,1761.4823027571003,2,2025-11-19 22:31:29
34,1774.2402388622622,1545.4636261349744,1773.8466257468056,2,2025-11-19 22:31:30
35,1784.1760967103355,1565.4633804916534,1783.6892633770021,2,2025-11-19 22:31:31
36,1764.5878814071505,1553.0352782133102,1764.3064560193584,2,2025-11-19 22:31:33
37,1758.5451087144138,1569.511726485739,1758.343740164414,2,2025-11-19 22:31:34
38,1738.4973411739095,1535.9803945736899,1738.1051880491905,2,2025-11-19 22:31:35
39,1737.5447900263573,1519.1496352078339,1737.2747977454321,2,2025-11-19 22:31:37
40,1748.4693956776423,1521.9390708892693,1748.0096956776424,2,2025-11-19 22:31:38
41,1742.1381546547543,1504.5345590779584,1741.9743022101295,2,2025-11-19 22:31:39
42,1721.6379728748323,1495.1984487574505,1721.3710129408055,2,2025-11-19 22:31:40
43,1719.9322342978367,1499.3196853972822,1719.7076613136167,2,2025-11-19 22:31:42
44,1739.0739252008502,1528.7984264489223,1739.0739252008502,2,2025-11-19 22:31:43
45,1723.493227382983,1533.9413323645995,1723.1839080478496,2,2025-11-19 22:31:44
46,1737.1163913083008,1564.4349193396008,1736.8656724285572,2,2025-11-19 22:31:45
47,1738.4102954622253,1566.8517639134495,1738.1837716263774,2,2025-11-19 22:31:46
48,1753.9672159589798,1550.30280256642,1753.0035159589797,2,2025-11-19 22:31:47
49,1745.5726062779584,1542.894421389304,1745.226331693583,2,2025-11-19 22:31:49
