Generation,Best_Fitness,Avg_Fitness,Best_ELO,Species_Count,Timestamp
0,1309.050020747483,1262.0433747421812,1309.050020747483,5,2025-11-19 21:51:08
1,1416.4659230321383,1279.9212371339568,1413.4730663654716,5,2025-11-19 21:51:09
2,1457.820169613847,1282.4793061737003,1455.5271915186088,5,2025-11-19 21:51:09
3,1521.7784304596498,1289.8873766545837,1521.3125971263164,5,2025-11-19 21:51:10
4,1570.4711341893544,1308.9784891873946,1570.3661008560211,5,2025-11-19 21:51:11
5,1566.1839613830507,1317.589918086559,1566.109042420068,5,2025-11-19 21:51:13
6,1587.659590491097,1321.1246917404933,1587.536002607246,5,2025-11-19 21:51:14
7,1600.8618033001103,1314.7549638703063,1599.6035533001102,5,2025-11-19 21:51:15
8,1616.620004987645,1320.8839090278057,1615.758768556206,5,2025-11-19 21:51:16
9,1643.8175850333068,1330.0872749727018,1643.2744280733823,5,2025-11-19 21:51:17
10,1651.9407901363002,1332.0086159604111,1651.492397910097,5,2025-11-19 21:51:19
11,1681.3004548813076,1340.0799141759887,1680.896835952594,5,2025-11-19 21:51:20
12,1678.3855864654988,1348.0417507667958,1678.0367406202745,5,2025-11-19 21:51:21
13,1692.7257592315045,1336.1524393637305,1692.7257592315045,5,2025-11-19 21:51:22
14,1712.8779069298819,1337.6029171037433,1712.0023386755709,5,2025-11-19 21:51:24
15,1725.201856360681,1359.884778858142,1725.201856360681,5,2025-11-19 21:51:25
16,1742.2751819025627,1356.8620085391408,1741.7732178302465,5,2025-11-19 21:51:26
17,1740.600190142031,1364.7809159739004,1740.1603973680583,5,2025-11-19 21:51:27
18,1756.7269963812125,1364.0695317341729,1756.396963717325,5,2025-11-19 21:51:28
19,1766.1776841317435,1372.2357123983647,1766.1776841317435,5,2025-11-19 21:51:29
20,1769.0875395469272,1347.1945472516927,1768.5751395469272,5,2025-11-19 21:51:30
21,1779.9112754776183,1393.6826454131303,1778.875942144285,4,2025-11-19 21:51:31
22,1792.6173024377283,1390.298624016672,1791.4277786282046,4,2025-11-19 21:51:33
23,1787.0121376710028,1371.187858307799,1786.7733876710029,4,2025-11-19 21:51:34
24,1784.0765851610572,1372.3536470347265,1783.5655919186127,4,2025-11-19 21:51:35
25,1793.4600877019238,1374.2436476027679,1793.0002877019238,4,2025-11-19 21:51:36
26,1801.3807959140217,1374.995649543783,1800.4348869253151,4,2025-11-19 21:51:38
27,1809.1622272240952,1386.8359392780108,1808.5707910294693,4,2025-11-19 21:51:39
28,1819.3549993339193,1397.772401294849,1818.8126434545627,4,2025-11-19 21:51:40
29,1829.0309094517897,1387.7910617736247,1828.3747842643306,4,2025-11-19 21:51:41
30,1838.0503993299362,1395.4642095627519,1837.3141124183353,4,2025-11-19 21:51:42
31,1844.8521334303466,1395.7211074604556,1843.9061538213707,4,2025-11-19 21:51:43
32,1804.9877564873557,1377.2216949596861,1804.2130990535316,4,2025-11-19 21:51:45
33,1815.7009349337166,1394.4206262347795,1815.25051801628,4,2025-11-19 21:51:46
34,1825.9989097279308,1404.0298420675308,1825.9989097279308,4,2025-11-19 21:51:47
35,1829.1963414219965,1392.7954674808934,1828.4821902061485,4,2025-11-19 21:51:48
36,1835.9757856975289,1410.723293166849,1835.5906240002137,4,2025-11-19 21:51:49
37,1841.407539905479,1399.358861992067,1841.407539905479,4,2025-11-19 21:51:50
38,1847.7142384527276,1558.022856804596,1847.3784651193941,2,2025-11-19 21:51:51
39,1808.778510953337,1535.1720175776197,1808.2850082609784,2,2025-11-19 21:51:52
40,1818.0880111000408,1522.1276621365287,1817.4588798178006,2,2025-11-19 21:51:53
41,1826.5239871783035,1534.610417599001,1825.9574087411117,2,2025-11-19 21:51:54
42,1816.219914526837,1548.683456937303,1815.7335102290372,2,2025-11-19 21:51:56
43,1822.5436337610106,1539.8964309030187,1822.0826496301815,2,2025-11-19 21:51:57
44,1800.7039329064062,1570.6741767266965,1800.2006971217468,2,2025-11-19 21:51:58
45,1779.670588079157,1579.88711945921,1779.424858487713,2,2025-11-19 21:52:00
46,1757.2867927959617,1564.1621742012212,1756.9813906120887,2,2025-11-19 21:52:02
47,1722.7505849636761,1561.9420827946956,1722.5972307758907,2,2025-11-19 21:52:05
48,1678.8267145144002,1579.2527729261224,1678.8267145144002,2,2025-11-19 21:52:06
49,1677.4481538685743,1588.3521677582075,1677.4481538685743,2,2025-11-19 21:52:08
