Generation,Best_Fitness,Avg_Fitness,Best_ELO,Species_Count,Timestamp
0,1918.8123021401593,1334.9121263826519,1918.8123021401593,5,2025-11-20 21:21:44
1,1924.094225904207,1318.141954408955,1923.0158392375401,5,2025-11-20 21:21:45
2,1931.8074321703543,1344.6251462702264,1929.6412321703542,5,2025-11-20 21:21:46
3,1936.073925876129,1336.4356073831168,1934.0401758761288,5,2025-11-20 21:21:47
4,1939.2561184604158,1359.606062773055,1939.2561184604158,5,2025-11-20 21:21:47
5,1943.889122038662,1334.3752385882683,1943.6922553719953,6,2025-11-20 21:21:48
6,1918.6823522383604,1335.9770745920907,1917.2454389877726,6,2025-11-20 21:21:50
7,1924.8362708431673,1347.8852128703656,1923.9929378550721,6,2025-11-20 21:21:51
8,1931.2580967904998,1343.7113454704129,1930.3145301238333,6,2025-11-20 21:21:52
9,1933.729570952876,1356.0379864952492,1933.729570952876,6,2025-11-20 21:21:53
10,1924.0533370224643,1369.2514038754764,1923.6065477679147,6,2025-11-20 21:21:54
11,1913.7188582982676,1362.3856146865214,1912.7246440125534,6,2025-11-20 21:21:55
12,1903.7707576484963,1372.1513725868074,1903.4018786008774,6,2025-11-20 21:21:56
13,1899.625189005386,1379.2070385827,1899.312209005386,6,2025-11-20 21:21:57
14,1890.8248720818842,1388.7978884685583,1890.7103720818843,6,2025-11-20 21:21:59
15,1883.7869948765735,1386.1129426621803,1883.7624010747927,6,2025-11-20 21:22:00
16,1876.3015334373495,1379.8627199506052,1875.956359378824,6,2025-11-20 21:22:01
17,1882.4259927114108,1384.6337494845718,1882.0899889399823,6,2025-11-20 21:22:02
18,1866.7082712033045,1399.9684382730704,1866.497742124245,6,2025-11-20 21:22:03
19,1865.3035855093917,1394.8380770474212,1865.1728859427626,6,2025-11-20 21:22:05
20,1859.3890990551454,1398.5427258068232,1859.2417885138755,6,2025-11-20 21:22:06
21,1861.583401396005,1395.0849927984657,1861.4068125071162,6,2025-11-20 21:22:07
22,1869.7678191102195,1433.6193783204808,1869.5483636123586,5,2025-11-20 21:22:08
23,1860.4476888199408,1486.671928044262,1860.4146372088296,4,2025-11-20 21:22:09
24,1833.367955804828,1512.8123549235943,1833.0695648812289,3,2025-11-20 21:22:11
25,1828.9981748198193,1574.9447486500508,1828.660264708466,2,2025-11-20 21:22:12
26,1759.3460070628282,1533.2548704622398,1759.0957742777593,2,2025-11-20 21:22:14
27,1736.1579173150387,1498.152879161511,1736.0213327461108,2,2025-11-20 21:22:15
28,1737.865415854397,1524.2528187910145,1737.5227687871047,2,2025-11-20 21:22:17
29,1737.9280260633639,1533.5810087749908,1737.742594542095,2,2025-11-20 21:22:18
30,1715.9621239741336,1524.057677843802,1715.7711589339367,2,2025-11-20 21:22:19
31,1708.140830401161,1505.4570753330015,1707.8721827653587,2,2025-11-20 21:22:21
32,1719.6375062941402,1536.497275778014,1719.3665903833237,2,2025-11-20 21:22:22
33,1718.0695187550273,1515.277028572639,1717.5018893900274,2,2025-11-20 21:22:23
34,1726.5591364412887,1532.5049194139292,1726.2380638401153,2,2025-11-20 21:22:24
35,1735.0129133859402,1526.0574549210646,1734.9640381647723,2,2025-11-20 21:22:25
36,1736.1464737663762,1509.2311863337143,1735.9091138739657,2,2025-11-20 21:22:27
37,1749.779130799958,1526.901128267576,1749.542812333897,2,2025-11-20 21:22:28
38,1759.2919563034295,1535.5242630900977,1759.1947378643526,2,2025-11-20 21:22:30
39,1740.3586510001207,1532.9047035873919,1740.0679551898472,2,2025-11-20 21:22:31
40,1720.4229159622685,1531.743268645789,1720.3586596878413,2,2025-11-20 21:22:33
41,1690.7422931269978,1498.0840897608473,1690.5694905535702,2,2025-11-20 21:22:35
42,1678.494644411425,1524.877312240174,1678.3391857051795,2,2025-11-20 21:22:36
43,1684.4360493085803,1517.4885764137705,1684.149075449188,2,2025-11-20 21:22:38
44,1696.4531171280953,1513.8824791368197,1696.2459263092371,2,2025-11-20 21:22:40
45,1701.7040917995773,1548.5824170069673,1700.8546417995774,2,2025-11-20 21:22:41
46,1721.6364216635259,1532.7875354728521,1721.3202413835752,2,2025-11-20 21:22:42
47,1739.0410531638101,1556.3433392999273,1739.0410531638101,2,2025-11-20 21:22:43
48,1720.4294312948755,1558.0691030856233,1720.3127737429406,2,2025-11-20 21:22:45
49,1719.723159326504,1560.018946238339,1719.723159326504,2,2025-11-20 21:22:46
