Generation,Best_Fitness,Avg_Fitness,Best_ELO,Species_Count,Timestamp
0,1853.0254032574012,1292.6752908276515,1852.3943527296235,7,2025-11-19 21:52:24
1,1862.4513134235049,1283.0696140180821,1861.7376295623937,7,2025-11-19 21:52:25
2,1867.499516427814,1295.6954446774475,1867.3091830944807,7,2025-11-19 21:52:26
3,1877.2032216362186,1303.0366597369903,1875.974321803302,7,2025-11-19 21:52:27
4,1867.246218367402,1306.5792323403005,1867.1472833814073,7,2025-11-19 21:52:28
5,1843.3948702794614,1288.4644680331562,1843.264283841795,7,2025-11-19 21:52:29
6,1849.6897294233306,1305.6833886168424,1849.6703279638089,7,2025-11-19 21:52:30
7,1859.8161474608278,1304.9781658077648,1859.6476941274946,8,2025-11-19 21:52:31
8,1867.8162431611913,1301.6448743600877,1867.657109827858,8,2025-11-19 21:52:32
9,1847.4824116210486,1305.769036607197,1847.462898186695,8,2025-11-19 21:52:33
10,1845.4093868008179,1316.3461792003368,1844.9639952767939,8,2025-11-19 21:52:34
11,1844.9736735920276,1303.9832810193975,1844.9736735920276,8,2025-11-19 21:52:35
12,1845.484722948096,1323.2482070385017,1845.480640900213,8,2025-11-19 21:52:36
13,1848.2053040715796,1322.9530929376092,1847.7835503876988,8,2025-11-19 21:52:37
14,1857.0856499303213,1317.68136478382,1855.8689899303213,8,2025-11-19 21:52:38
15,1862.6112951604234,1318.6073140077137,1862.4935119527331,8,2025-11-19 21:52:38
16,1869.8336086660456,1322.3820412171194,1869.5275486660457,8,2025-11-19 21:52:39
17,1878.2470906173464,1331.4177809633989,1877.7607161790218,8,2025-11-19 21:52:40
18,1887.5773452198596,1327.4957541841723,1887.5773452198596,8,2025-11-19 21:52:41
19,1893.5770048441257,1316.7728625376392,1893.5770048441257,8,2025-11-19 21:52:42
20,1885.276977518693,1306.2493212405186,1885.0180108520262,8,2025-11-19 21:52:43
21,1871.2859531446306,1312.0689706349747,1870.8405769541544,8,2025-11-19 21:52:44
22,1876.8675455830094,1327.8759783387384,1876.8485539163428,7,2025-11-19 21:52:45
23,1855.9134792730472,1342.5981136612527,1855.52725923461,6,2025-11-19 21:52:45
24,1847.324927982054,1331.5501505640611,1846.9111456490832,6,2025-11-19 21:52:46
25,1835.9918865781578,1358.2913528711015,1835.553660451914,5,2025-11-19 21:52:47
26,1841.1282773985358,1393.5316012780854,1840.5511289338122,4,2025-11-19 21:52:48
27,1848.5792357495263,1388.3159100199107,1847.457527416193,4,2025-11-19 21:52:49
28,1840.1454452589512,1392.4418053905738,1839.5266538303797,4,2025-11-19 21:52:50
29,1831.0166459011398,1396.5693804707187,1830.6698995082827,4,2025-11-19 21:52:51
30,1837.9969239231605,1455.6175752466943,1837.4273550668754,3,2025-11-19 21:52:52
31,1843.3003518945436,1551.4650750461835,1843.0240518945436,2,2025-11-19 21:52:52
32,1852.1383847832335,1553.661525844696,1851.9473847832335,2,2025-11-19 21:52:53
33,1860.7243737543452,1550.2063911793377,1860.202873754345,2,2025-11-19 21:52:54
34,1852.8433076544359,1546.4576847536505,1852.5759454052447,2,2025-11-19 21:52:55
35,1825.7662678805632,1536.9069479519749,1825.4773338637901,2,2025-11-19 21:52:56
36,1823.7854890976694,1534.439734468602,1822.471793859574,2,2025-11-19 21:52:57
37,1833.0713643274964,1544.9091385648023,1832.5672672912524,3,2025-11-19 21:52:58
38,1842.8525517469868,1552.7470918721442,1842.1762971566102,2,2025-11-19 21:52:59
39,1836.0362332629938,1541.8452604583697,1835.8834332629938,2,2025-11-19 21:52:59
40,1847.0418636445265,1555.4344072395725,1845.5797719778598,2,2025-11-19 21:53:00
41,1851.073493721071,1559.3664576092183,1851.073493721071,2,2025-11-19 21:53:01
42,1856.7465074899392,1554.706387414655,1856.7465074899392,2,2025-11-19 21:53:02
43,1868.4909631267342,1571.142803933919,1867.390863126734,2,2025-11-19 21:53:03
44,1876.2449229393276,1567.4863705946882,1876.2449229393276,2,2025-11-19 21:53:04
45,1871.5865710054015,1541.2941916186926,1870.2936131550691,2,2025-11-19 21:53:05
46,1830.7822303249259,1529.7220306181657,1830.324914311318,2,2025-11-19 21:53:07
47,1789.8460876425665,1537.7151109609767,1789.0406526539425,2,2025-11-19 21:53:08
48,1797.5378076876666,1557.7308114377038,1796.7524065133998,2,2025-11-19 21:53:09
49,1764.8657133041643,1559.2572201201601,1764.8657133041643,2,2025-11-19 21:53:10
