Generation,Best_Fitness,Avg_Fitness,Best_ELO,Species_Count,Timestamp
0,1851.7812427375957,1360.331536921019,1851.7812427375957,4,2025-11-21 21:58:59
1,1860.2596816966454,1372.62949748967,1857.2774650299787,4,2025-11-21 21:59:00
2,1866.0856821043155,1378.0173750694273,1865.472710675744,4,2025-11-21 21:59:01
3,1859.893524368354,1376.385274147368,1858.371374368354,4,2025-11-21 21:59:03
4,1837.146177595485,1380.1997459083725,1837.049230364923,4,2025-11-21 21:59:04
5,1830.8513164982483,1394.3048519014128,1829.2811664982482,4,2025-11-21 21:59:05
6,1825.3284867044529,1386.6850724739147,1823.6350336919709,4,2025-11-21 21:59:06
7,1836.3830697257717,1400.837779348334,1835.5530039176901,4,2025-11-21 21:59:07
8,1833.299286032966,1411.0102165360122,1832.79008269302,4,2025-11-21 21:59:08
9,1843.6257250820186,1407.950051613022,1843.6257250820186,4,2025-11-21 21:59:09
10,1853.7192036315719,1420.1055987204038,1853.7192036315719,4,2025-11-21 21:59:10
11,1832.966147166097,1434.1220301380058,1831.967567166097,4,2025-11-21 21:59:11
12,1826.604688399721,1417.6854865278988,1826.0639618613966,4,2025-11-21 21:59:12
13,1833.5292819459985,1440.8185237297198,1833.5105275445462,4,2025-11-21 21:59:13
14,1825.9885293091281,1440.2815080994437,1825.4605054886003,4,2025-11-21 21:59:14
15,1834.1176695321474,1436.3490721048818,1833.4326695321474,4,2025-11-21 21:59:15
16,1844.5028714480898,1420.3410693927826,1843.6842586817645,4,2025-11-21 21:59:16
17,1839.89437332597,1434.7844595999995,1839.16237332597,4,2025-11-21 21:59:17
18,1831.5191945395395,1419.1744427543629,1830.895429559065,4,2025-11-21 21:59:19
19,1822.5838964587215,1413.7041408824575,1822.0742566273752,4,2025-11-21 21:59:20
20,1816.5258994429726,1491.5693059112011,1815.9176743601797,3,2025-11-21 21:59:21
21,1824.1337584362884,1590.0817012373823,1823.575120884893,2,2025-11-21 21:59:22
22,1801.2876085357734,1554.6288822793679,1800.8267219108473,2,2025-11-21 21:59:24
23,1810.1560372294568,1535.2262431245456,1808.7896872294568,2,2025-11-21 21:59:25
24,1744.9839061878965,1521.362304556164,1744.3672110533744,2,2025-11-21 21:59:28
25,1724.5415332837983,1518.3964898403474,1723.9100529144225,2,2025-11-21 21:59:29
26,1719.558108130828,1507.1687109112177,1719.1910426878421,2,2025-11-21 21:59:30
27,1712.4672814946484,1469.1692311609406,1712.2272185383906,2,2025-11-21 21:59:32
28,1694.4546580623564,1492.6599738642058,1694.2128522827616,2,2025-11-21 21:59:33
29,1676.2456805232557,1481.3165736575513,1675.8816677756467,2,2025-11-21 21:59:35
30,1702.3784337359525,1498.107837100712,1701.2027004026193,2,2025-11-21 21:59:36
31,1686.6055875693633,1513.0307629758966,1686.361051705581,2,2025-11-21 21:59:37
32,1694.568604180469,1523.9725526592542,1694.2717388387953,2,2025-11-21 21:59:39
33,1715.6543067526313,1544.9144991683097,1715.51944021152,2,2025-11-21 21:59:40
34,1724.4703356321863,1559.3470418497482,1724.1271000807135,2,2025-11-21 21:59:42
35,1737.4973629173242,1573.4589322241068,1737.1968030815513,2,2025-11-21 21:59:43
36,1730.0823528166711,1580.0166927729942,1729.6050012258609,2,2025-11-21 21:59:44
37,1709.5720038304316,1543.464422491114,1709.1930087697585,2,2025-11-21 21:59:46
38,1716.2107770562457,1562.8767497892609,1715.6007770562455,2,2025-11-21 21:59:48
39,1696.8380020880672,1543.706643977334,1696.5902908672056,2,2025-11-21 21:59:50
40,1683.3726308449498,1533.951419596506,1683.2707073962947,2,2025-11-21 21:59:51
