Generation,Best_Fitness,Avg_Fitness,Best_ELO,Species_Count,Timestamp
0,1752.593696851672,1308.371247022799,1751.9071241532592,4,2025-11-21 21:39:45
1,1764.6819561078914,1340.869198459506,1764.23265967932,4,2025-11-21 21:39:46
2,1731.3674081249103,1362.763411612017,1731.1268760984144,4,2025-11-21 21:39:47
3,1697.3027416913844,1365.3692512932062,1697.1076933297452,4,2025-11-21 21:39:49
4,1683.1800163184862,1389.8329421919966,1682.9984421670258,4,2025-11-21 21:39:50
5,1599.6261476476586,1392.63889647006,1599.6261476476586,4,2025-11-21 21:39:52
6,1589.4548760293649,1369.8578027020876,1589.2366867617363,4,2025-11-21 21:39:54
7,1559.9196412376318,1388.8305982537313,1559.8460197442228,4,2025-11-21 21:39:56
8,1539.3923764966694,1413.5006475911323,1539.1980572744508,4,2025-11-21 21:39:59
9,1543.0047983566512,1425.5056196229202,1542.8406114662428,4,2025-11-21 21:40:01
10,1539.6986097446036,1461.8613763596452,1539.6986097446036,4,2025-11-21 21:40:02
11,1548.3979168286578,1475.3605910367137,1547.4877501619912,4,2025-11-21 21:40:04
12,1543.914622295939,1478.575727603563,1543.8237971819738,4,2025-11-21 21:40:06
13,1555.8632377826673,1489.7956962385722,1555.8341540534914,4,2025-11-21 21:40:08
14,1551.9862398211387,1506.0970739021086,1551.830835427524,4,2025-11-21 21:40:09
15,1542.7888026551411,1507.1186663090402,1542.701834746806,4,2025-11-21 21:40:11
16,1536.039600589379,1509.1890501129428,1535.8811103396065,4,2025-11-21 21:40:13
17,1557.8851420175008,1510.6158737035994,1556.828057962306,4,2025-11-21 21:40:15
18,1534.3864828238773,1513.9853187656279,1534.3508472995095,4,2025-11-21 21:40:17
19,1554.9535695815882,1513.4748486410308,1554.8844457720645,4,2025-11-21 21:40:19
20,1548.3963409857238,1506.7771739187249,1548.3843534159298,3,2025-11-21 21:40:21
21,1544.807870165939,1530.6267455330967,1544.7352303082544,2,2025-11-21 21:40:23
22,1541.8845571180711,1522.0627711962343,1541.8079573686293,2,2025-11-21 21:40:25
23,1521.1838270333367,1496.1403763413855,1521.1052263929337,2,2025-11-21 21:40:27
24,1522.7940773216797,1494.224683226936,1522.7310612158085,2,2025-11-21 21:40:29
25,1489.8315770351855,1467.7901714223206,1489.772492270551,2,2025-11-21 21:40:32
26,1524.022032250183,1486.0766689800282,1522.8578989168495,2,2025-11-21 21:40:33
27,1546.0770901116118,1491.2772784347294,1545.7955136670328,2,2025-11-21 21:40:35
28,1553.3368486616566,1502.612913100727,1553.0450692866254,2,2025-11-21 21:40:37
29,1538.5920802046312,1494.3877817148796,1538.462549519302,2,2025-11-21 21:40:39
30,1539.8229211843177,1510.558985821032,1539.786479844471,2,2025-11-21 21:40:40
31,1547.8715778523213,1518.651479591598,1547.8365251708246,2,2025-11-21 21:40:42
32,1528.198357494129,1500.5509824921241,1528.1548419284475,2,2025-11-21 21:40:44
33,1554.538666531483,1525.8905759943518,1554.3808504361234,2,2025-11-21 21:40:45
34,1564.5829021798404,1533.8176298076055,1564.2705619854291,2,2025-11-21 21:40:46
35,1542.247296219693,1511.2448793554358,1542.0909682005188,2,2025-11-21 21:40:49
36,1557.0560248573713,1529.4161940807421,1557.0560248573713,2,2025-11-21 21:40:50
37,1519.3848393870828,1511.7998231209535,1519.3298105289618,2,2025-11-21 21:40:52
38,1519.586184394297,1493.5250156927293,1519.5035362705366,2,2025-11-21 21:40:54
39,1523.5442982963432,1501.558172384606,1523.4809776952188,2,2025-11-21 21:40:56
40,1530.578779612591,1508.2597166866512,1530.3227388811358,2,2025-11-21 21:40:58
41,1536.1809082157397,1501.330165977805,1536.082503012599,2,2025-11-21 21:40:59
42,1544.9894089701395,1502.5001296575288,1544.5834657475818,2,2025-11-21 21:41:01
43,1541.3008738153471,1501.0698116534986,1541.2056123645673,2,2025-11-21 21:41:03
44,1561.4468188552703,1518.0521034350709,1561.378638642681,2,2025-11-21 21:41:04
