Generation,Best_Fitness,Avg_Fitness,Best_ELO,Species_Count,Timestamp
0,1793.5989762739969,1289.452494368651,1793.5989762739969,5,2025-11-21 21:56:01
1,1811.5637788655108,1299.6469712560788,1808.3050074369394,5,2025-11-21 21:56:02
2,1819.5433611348503,1325.1677428212183,1817.9827744681836,5,2025-11-21 21:56:02
3,1812.1378636767179,1341.4522928419333,1812.0297909026776,5,2025-11-21 21:56:03
4,1812.7977068083158,1339.0216842434245,1811.2516690305379,5,2025-11-21 21:56:04
5,1805.2102191399097,1346.2834376679762,1804.4395119039973,5,2025-11-21 21:56:05
6,1774.5765512673572,1349.6623368196674,1774.4131703506905,5,2025-11-21 21:56:06
7,1755.1758362239332,1354.0155138409832,1754.771718581847,5,2025-11-21 21:56:07
8,1758.9178766689067,1369.2531981579154,1758.4284944028122,5,2025-11-21 21:56:08
9,1772.3315389597315,1352.8130274903717,1771.9912926936904,5,2025-11-21 21:56:09
10,1752.2118092653204,1343.8988508397438,1751.552807836749,5,2025-11-21 21:56:10
11,1765.3921970985602,1379.8337493975803,1765.3324070985602,5,2025-11-21 21:56:11
12,1761.403557730092,1379.213581643771,1761.2814210182412,5,2025-11-21 21:56:12
13,1770.1028525880756,1390.2148760985342,1769.8333560857106,5,2025-11-21 21:56:13
14,1777.2629733797219,1403.222167512588,1777.2629733797219,5,2025-11-21 21:56:14
15,1789.2262102850382,1418.9277761721225,1789.0530269517049,5,2025-11-21 21:56:15
16,1809.2950202044278,1430.1511544612645,1809.0152190742867,5,2025-11-21 21:56:16
17,1816.1980994799678,1427.5205343802536,1816.1980994799678,5,2025-11-21 21:56:17
18,1828.4480477286804,1429.609703152453,1828.031824856631,5,2025-11-21 21:56:18
19,1824.1185379044716,1444.5845097279107,1823.8316394326264,5,2025-11-21 21:56:19
20,1817.3882510987062,1414.8939325222957,1817.2409177653728,5,2025-11-21 21:56:20
21,1811.9184469229137,1415.261419527937,1811.473602318747,5,2025-11-21 21:56:21
22,1793.571089636939,1415.473791434018,1793.2585261787,5,2025-11-21 21:56:22
23,1779.0323401670723,1394.9523036890764,1778.7056834000964,5,2025-11-21 21:56:23
24,1793.8464729511743,1375.2120906337746,1793.5392545385932,5,2025-11-21 21:56:24
25,1789.0958556346782,1396.4655445317837,1788.8218410571253,5,2025-11-21 21:56:25
26,1787.8312706264858,1413.625477308739,1787.5407825580335,5,2025-11-21 21:56:26
27,1797.4610881964843,1407.3328685243716,1796.98237391077,5,2025-11-21 21:56:27
28,1765.8923061726769,1420.3070347250707,1765.7045944805056,5,2025-11-21 21:56:28
29,1767.2055595038216,1400.8917455053102,1766.633461193663,5,2025-11-21 21:56:29
30,1783.8905440288747,1418.0077962279142,1783.3524992901446,5,2025-11-21 21:56:30
31,1792.8246352051972,1406.165697122625,1792.3437054432925,5,2025-11-21 21:56:32
32,1795.7771827524853,1387.393937717468,1795.4095016604217,5,2025-11-21 21:56:33
33,1787.3971568908391,1409.784227045935,1786.7269711765534,5,2025-11-21 21:56:34
34,1784.6887234301341,1469.2612189640017,1784.587955926845,4,2025-11-21 21:56:35
35,1798.9033230118473,1452.4096173688595,1798.9033230118473,4,2025-11-21 21:56:37
36,1809.6873775835381,1453.499974850633,1809.476907468974,4,2025-11-21 21:56:38
37,1780.6705411395546,1457.4435360876178,1780.5715794776484,4,2025-11-21 21:56:39
38,1789.7856888827475,1458.073316628228,1789.4424068806939,4,2025-11-21 21:56:40
39,1788.1964132306452,1473.1453324144447,1787.875977699357,4,2025-11-21 21:56:42
40,1777.8413435989414,1464.6621322712829,1777.572842426601,4,2025-11-21 21:56:43
41,1794.634056868185,1469.1908215223943,1794.4246351592374,4,2025-11-21 21:56:45
42,1790.940333733323,1469.7981404158584,1790.8257337333232,4,2025-11-21 21:56:46
43,1767.6837242671852,1442.3792632497207,1767.5131340716339,4,2025-11-21 21:56:48
44,1769.5296373758247,1444.4997825041796,1769.4225758367525,4,2025-11-21 21:56:49
45,1743.8190591110776,1419.2153980601975,1743.7254927976267,4,2025-11-21 21:56:50
46,1741.0534062689435,1427.352166902027,1740.7957004769248,4,2025-11-21 21:56:52
47,1719.2701668966047,1419.2544184373696,1719.0948797355632,4,2025-11-21 21:56:53
48,1733.5038047612038,1449.469971277051,1733.3128247248515,3,2025-11-21 21:56:54
49,1720.4240472935257,1442.8037511933178,1720.2453769923882,3,2025-11-21 21:56:56
