Generation,Best_Fitness,Avg_Fitness,Best_ELO,Species_Count,Timestamp
0,1606.7198648414571,1308.0026575011345,1606.7198648414571,5,2025-11-21 21:35:26
1,1635.6856312097598,1319.9349602392358,1632.4497867653154,5,2025-11-21 21:35:27
2,1640.0537754843435,1320.9956505086732,1637.848228817677,5,2025-11-21 21:35:28
3,1651.933246742821,1319.8863687418675,1651.933246742821,5,2025-11-21 21:35:29
4,1650.1525617525672,1303.7996842480188,1649.0297871430785,5,2025-11-21 21:35:31
5,1656.3091109176626,1300.7765255209424,1655.781129095309,5,2025-11-21 21:35:32
6,1665.1162987844784,1311.7959677763406,1664.2500751113732,5,2025-11-21 21:35:33
7,1685.0311651495538,1325.7769562533147,1684.9494746733633,5,2025-11-21 21:35:35
8,1690.2224527284636,1322.6817456282465,1690.115086704359,5,2025-11-21 21:35:36
9,1705.218146557205,1328.1254544558983,1704.8160258164262,5,2025-11-21 21:35:37
10,1710.3384074052067,1323.4885401772892,1710.0895339846866,5,2025-11-21 21:35:38
11,1710.110500753246,1314.654126438807,1710.110500753246,5,2025-11-21 21:35:40
12,1706.3757346797572,1316.504797682764,1705.9689203918902,5,2025-11-21 21:35:41
13,1716.840256619018,1317.8707176182952,1715.7325747211382,5,2025-11-21 21:35:42
14,1731.181870516123,1326.1629841724694,1731.181870516123,5,2025-11-21 21:35:43
15,1733.906818863398,1342.1466574401713,1733.353520373795,5,2025-11-21 21:35:45
16,1735.884612991013,1333.3404094499763,1735.649749465263,5,2025-11-21 21:35:46
17,1740.0386251177333,1337.5035684522431,1737.9980251177333,5,2025-11-21 21:35:47
18,1751.0054480572146,1340.2555919878052,1750.3001619461036,5,2025-11-21 21:35:49
19,1736.1703603333776,1313.8864626977725,1735.6424733361443,5,2025-11-21 21:35:50
20,1741.4550966086324,1356.483908942819,1741.1980126263004,4,2025-11-21 21:35:51
21,1740.0237610435452,1360.3213653259136,1739.708803900688,4,2025-11-21 21:35:52
22,1740.2786806089614,1400.6597167627413,1739.987034885296,3,2025-11-21 21:35:54
23,1736.5687515552586,1486.4864278683626,1736.3862551018453,2,2025-11-21 21:35:55
24,1738.0524764681059,1495.8602937145406,1736.6208981347525,2,2025-11-21 21:35:56
25,1706.4636379196406,1472.2254968119828,1706.292338700317,2,2025-11-21 21:35:58
26,1705.0972530113916,1479.1089595697554,1704.482140551054,2,2025-11-21 21:35:59
27,1701.156505143501,1516.6990260958892,1700.8373934348679,2,2025-11-21 21:36:00
28,1701.6752112676802,1509.063474953637,1701.1787184983177,2,2025-11-21 21:36:02
29,1689.8779441546958,1512.7088046091562,1689.766763202315,2,2025-11-21 21:36:03
30,1705.561054575129,1535.6122108169243,1705.3423549584622,2,2025-11-21 21:36:04
31,1722.185617655338,1507.277901712618,1722.185617655338,2,2025-11-21 21:36:05
32,1737.7646551742175,1523.4196982302144,1736.7835050290967,2,2025-11-21 21:36:07
33,1710.0022039485011,1520.4309659584148,1709.6950316075813,2,2025-11-21 21:36:08
34,1705.8039892409465,1525.7907683867504,1705.6809596685237,2,2025-11-21 21:36:09
35,1688.277396047686,1520.3611934943906,1688.0767885416321,2,2025-11-21 21:36:10
36,1683.3199434032194,1529.6293879019563,1682.9246671162891,2,2025-11-21 21:36:11
37,1696.2086859077788,1522.2141656911806,1696.2086859077788,2,2025-11-21 21:36:13
38,1673.3572204324705,1500.4521878422163,1673.206246050613,2,2025-11-21 21:36:14
39,1687.0306107476272,1513.270938810205,1686.6369603947883,2,2025-11-21 21:36:15
40,1690.9376563778221,1494.9937441115412,1690.7335701995728,2,2025-11-21 21:36:16
41,1684.1859950348721,1498.9702344449422,1683.9043676418526,2,2025-11-21 21:36:17
42,1673.548279863069,1457.6573897744875,1673.2220976524156,2,2025-11-21 21:36:19
43,1653.2365752709698,1442.8427754511251,1653.2365752709698,2,2025-11-21 21:36:20
44,1656.579620315452,1468.7412961245686,1656.3982055535712,2,2025-11-21 21:36:21
45,1653.9804413371132,1490.6274646668862,1653.9075202995896,2,2025-11-21 21:36:22
46,1659.8765608639985,1500.6840300070712,1659.467457403654,2,2025-11-21 21:36:23
47,1677.6717612924701,1514.8372305519722,1677.3103478103212,2,2025-11-21 21:36:24
48,1685.634116506544,1513.3574542696178,1685.4344979939162,2,2025-11-21 21:36:25
49,1686.7871856215113,1517.4142430019915,1684.9080356215113,2,2025-11-21 21:36:27
