ball_x,ball_y,ball_vel_x,ball_vel_y,paddle_left_y,paddle_right_y,human_action
393,293,-8,-8,250,250,STAY
385,285,-8,-8,257,250,STAY
377,277,-8,-8,264,250,STAY
369,269,-8,-8,271,250,STAY
361,261,-8,-8,278,250,STAY
353,253,-8,-8,285,250,STAY
345,245,-8,-8,292,250,STAY
337,237,-8,-8,299,250,STAY
329,229,-8,-8,306,250,STAY
321,221,-8,-8,313,250,STAY
313,213,-8,-8,320,250,STAY
305,205,-8,-8,327,250,STAY
297,197,-8,-8,334,250,STAY
289,189,-8,-8,341,250,STAY
281,181,-8,-8,334,250,STAY
273,173,-8,-8,327,250,STAY
265,165,-8,-8,320,250,STAY
257,157,-8,-8,313,250,STAY
249,149,-8,-8,306,250,STAY
241,141,-8,-8,299,250,STAY
233,133,-8,-8,292,250,STAY
225,125,-8,-8,285,250,STAY
217,117,-8,-8,278,250,STAY
209,109,-8,-8,271,250,STAY
201,101,-8,-8,264,250,STAY
193,93,-8,-8,257,250,STAY
185,85,-8,-8,250,250,STAY
177,77,-8,-8,243,250,STAY
169,69,-8,-8,236,250,STAY
161,61,-8,-8,229,250,STAY
153,53,-8,-8,222,250,STAY
145,45,-8,-8,215,250,STAY
137,37,-8,-8,208,250,STAY
129,29,-8,-8,201,250,STAY
121,21,-8,-8,194,250,STAY
113,13,-8,-8,187,250,STAY
105,5,-8,-8,180,250,STAY
97,-3,-8,8,173,250,STAY
89,5,-8,8,166,250,STAY
81,13,-8,8,159,250,STAY
73,21,-8,8,152,250,STAY
65,29,-8,8,145,250,STAY
57,37,-8,8,138,250,STAY
49,45,-8,8,131,250,STAY
41,53,-8,8,124,250,STAY
33,61,-8,8,117,250,STAY
25,69,-8,8,110,250,STAY
17,77,-8,8,103,250,STAY
30,85,8,8,96,250,STAY
38,93,8,8,89,250,STAY
46,101,8,8,82,250,STAY
54,109,8,8,89,250,STAY
62,117,8,8,96,250,STAY
70,125,8,8,103,250,STAY
78,133,8,8,110,250,STAY
86,141,8,8,117,250,STAY
94,149,8,8,124,250,STAY
102,157,8,8,131,250,STAY
110,165,8,8,138,250,STAY
118,173,8,8,145,250,STAY
126,181,8,8,152,250,STAY
134,189,8,8,159,250,STAY
142,197,8,8,166,250,STAY
150,205,8,8,173,250,STAY
158,213,8,8,180,250,STAY
166,221,8,8,187,250,STAY
174,229,8,8,194,250,STAY
182,237,8,8,201,250,STAY
190,245,8,8,208,250,STAY
198,253,8,8,215,250,STAY
206,261,8,8,222,250,STAY
214,269,8,8,229,250,STAY
222,277,8,8,236,250,STAY
230,285,8,8,243,250,STAY
238,293,8,8,250,250,STAY
246,301,8,8,257,250,STAY
254,309,8,8,264,250,STAY
262,317,8,8,271,250,STAY
270,325,8,8,278,250,STAY
278,333,8,8,285,250,STAY
286,341,8,8,292,250,STAY
294,349,8,8,299,250,STAY
302,357,8,8,306,250,STAY
310,365,8,8,313,250,STAY
318,373,8,8,320,250,STAY
326,381,8,8,327,250,STAY
334,389,8,8,334,250,STAY
342,397,8,8,341,250,STAY
350,405,8,8,348,250,STAY
358,413,8,8,355,250,STAY
366,421,8,8,362,250,STAY
374,429,8,8,369,250,STAY
382,437,8,8,376,250,STAY
390,445,8,8,383,250,STAY
398,453,8,8,390,250,STAY
406,461,8,8,397,250,STAY
414,469,8,8,404,250,STAY
422,477,8,8,411,250,STAY
430,485,8,8,418,250,STAY
438,493,8,8,425,250,STAY
446,501,8,8,432,250,STAY
454,509,8,8,439,250,STAY
462,517,8,8,446,250,STAY
470,525,8,8,453,250,STAY
478,533,8,8,460,250,STAY
486,541,8,8,467,250,STAY
494,549,8,8,474,250,STAY
502,557,8,8,481,250,STAY
510,565,8,8,488,250,STAY
518,573,8,8,495,250,STAY
526,581,8,8,500,250,STAY
534,589,8,-8,500,250,STAY
542,581,8,-8,500,250,STAY
550,573,8,-8,500,250,STAY
558,565,8,-8,500,250,STAY
566,557,8,-8,500,250,STAY
574,549,8,-8,500,250,STAY
582,541,8,-8,500,250,STAY
590,533,8,-8,500,250,STAY
598,525,8,-8,500,250,STAY
606,517,8,-8,500,250,STAY
614,509,8,-8,500,250,STAY
622,501,8,-8,500,250,STAY
630,493,8,-8,500,250,STAY
638,485,8,-8,500,250,STAY
646,477,8,-8,500,250,STAY
654,469,8,-8,500,250,STAY
662,461,8,-8,500,250,STAY
670,453,8,-8,500,250,STAY
678,445,8,-8,500,250,STAY
686,437,8,-8,500,250,STAY
694,429,8,-8,500,250,STAY
702,421,8,-8,500,250,STAY
710,413,8,-8,500,250,STAY
718,405,8,-8,500,250,STAY
726,397,8,-8,500,250,STAY
734,389,8,-8,500,250,STAY
742,381,8,-8,500,250,STAY
750,373,8,-8,500,250,STAY
758,365,8,-8,500,250,STAY
766,357,8,-8,500,250,STAY
756,349,-8,-8,500,250,STAY
748,341,-8,-8,500,250,STAY
740,333,-8,-8,500,250,STAY
732,325,-8,-8,500,250,STAY
724,317,-8,-8,500,250,STAY
716,309,-8,-8,500,250,STAY
708,301,-8,-8,500,250,STAY
700,293,-8,-8,500,250,STAY
692,285,-8,-8,493,250,STAY
684,277,-8,-8,486,250,STAY
676,269,-8,-8,479,250,STAY
668,261,-8,-8,472,250,STAY
660,253,-8,-8,465,250,STAY
652,245,-8,-8,458,250,STAY
644,237,-8,-8,451,250,STAY
636,229,-8,-8,444,250,STAY
628,221,-8,-8,437,250,STAY
620,213,-8,-8,430,250,STAY
612,205,-8,-8,423,250,STAY
604,197,-8,-8,416,250,STAY
596,189,-8,-8,409,250,STAY
588,181,-8,-8,402,250,STAY
580,173,-8,-8,395,250,STAY
572,165,-8,-8,388,250,STAY
564,157,-8,-8,381,250,STAY
556,149,-8,-8,374,250,STAY
548,141,-8,-8,367,250,STAY
540,133,-8,-8,360,250,STAY
532,125,-8,-8,353,250,STAY
524,117,-8,-8,346,250,STAY
516,109,-8,-8,339,250,STAY
508,101,-8,-8,332,250,STAY
500,93,-8,-8,325,250,STAY
492,85,-8,-8,318,250,STAY
484,77,-8,-8,311,250,STAY
476,69,-8,-8,304,250,STAY
468,61,-8,-8,297,250,STAY
460,53,-8,-8,290,250,STAY
452,45,-8,-8,283,250,STAY
444,37,-8,-8,276,250,STAY
436,29,-8,-8,269,250,STAY
428,21,-8,-8,262,250,STAY
420,13,-8,-8,255,250,STAY
412,5,-8,-8,248,250,STAY
404,-3,-8,8,241,250,STAY
396,5,-8,8,234,250,STAY
388,13,-8,8,227,250,STAY
380,21,-8,8,220,250,STAY
372,29,-8,8,213,250,STAY
364,37,-8,8,206,250,STAY
356,45,-8,8,199,250,STAY
348,53,-8,8,192,250,STAY
340,61,-8,8,185,250,STAY
332,69,-8,8,178,250,STAY
324,77,-8,8,171,250,STAY
316,85,-8,8,164,250,STAY
308,93,-8,8,157,250,STAY
300,101,-8,8,150,250,STAY
292,109,-8,8,143,250,STAY
284,117,-8,8,150,250,STAY
276,125,-8,8,157,250,STAY
268,133,-8,8,164,250,STAY
260,141,-8,8,171,250,STAY
252,149,-8,8,178,250,STAY
244,157,-8,8,185,250,STAY
236,165,-8,8,192,250,STAY
228,173,-8,8,199,250,STAY
220,181,-8,8,206,250,STAY
212,189,-8,8,213,250,STAY
204,197,-8,8,220,250,STAY
196,205,-8,8,227,250,STAY
188,213,-8,8,234,250,STAY
180,221,-8,8,241,250,STAY
172,229,-8,8,248,250,STAY
164,237,-8,8,255,250,STAY
156,245,-8,8,262,250,STAY
148,253,-8,8,269,250,STAY
140,261,-8,8,276,250,STAY
132,269,-8,8,283,250,STAY
124,277,-8,8,290,250,STAY
116,285,-8,8,297,250,STAY
108,293,-8,8,304,250,STAY
100,301,-8,8,311,250,STAY
92,309,-8,8,318,250,STAY
84,317,-8,8,325,250,STAY
76,325,-8,8,332,250,STAY
68,333,-8,8,339,250,STAY
60,341,-8,8,346,250,STAY
52,349,-8,8,353,250,STAY
44,357,-8,8,360,250,STAY
36,365,-8,8,367,250,STAY
30,373,8,8,374,250,STAY
38,381,8,8,381,250,STAY
46,389,8,8,388,250,STAY
54,397,8,8,395,250,STAY
62,405,8,8,402,250,STAY
70,413,8,8,409,250,STAY
78,421,8,8,416,250,STAY
86,429,8,8,423,250,STAY
94,437,8,8,430,250,STAY
102,445,8,8,437,250,STAY
110,453,8,8,444,250,STAY
118,461,8,8,451,250,STAY
126,469,8,8,458,250,STAY
134,477,8,8,465,250,STAY
142,485,8,8,472,250,STAY
150,493,8,8,479,250,STAY
158,501,8,8,486,250,STAY
