ball_x,ball_y,ball_vel_x,ball_vel_y,paddle_left_y,paddle_right_y,human_action
761,69,8,8,80,250,STAY
769,77,8,8,73,250,STAY
777,85,8,8,80,250,STAY
785,93,8,8,87,250,STAY
393,293,8,-8,94,250,STAY
401,285,8,-8,101,250,STAY
409,277,8,-8,108,250,STAY
417,269,8,-8,115,250,STAY
425,261,8,-8,122,250,STAY
433,253,8,-8,129,250,STAY
441,245,8,-8,136,250,STAY
449,237,8,-8,143,250,STAY
457,229,8,-8,150,250,STAY
465,221,8,-8,157,250,STAY
473,213,8,-8,164,250,STAY
481,205,8,-8,171,250,STAY
489,197,8,-8,178,250,STAY
497,189,8,-8,185,250,STAY
505,181,8,-8,192,250,STAY
513,173,8,-8,199,250,STAY
521,165,8,-8,206,250,STAY
529,157,8,-8,213,250,STAY
537,149,8,-8,220,250,STAY
545,141,8,-8,227,250,STAY
553,133,8,-8,234,250,STAY
561,125,8,-8,227,250,STAY
569,117,8,-8,220,250,STAY
577,109,8,-8,213,250,STAY
585,101,8,-8,206,250,STAY
593,93,8,-8,199,250,STAY
601,85,8,-8,192,250,STAY
609,77,8,-8,185,250,STAY
617,69,8,-8,178,250,STAY
625,61,8,-8,171,250,STAY
633,53,8,-8,164,250,STAY
641,45,8,-8,157,250,STAY
649,37,8,-8,150,250,STAY
657,29,8,-8,143,250,STAY
665,21,8,-8,136,250,STAY
673,13,8,-8,129,250,STAY
681,5,8,-8,122,250,STAY
689,-3,8,8,115,250,STAY
697,5,8,8,108,250,STAY
705,13,8,8,101,250,STAY
713,21,8,8,94,250,STAY
721,29,8,8,87,250,STAY
729,37,8,8,80,250,STAY
737,45,8,8,73,250,STAY
745,53,8,8,66,250,STAY
753,61,8,8,59,250,STAY
761,69,8,8,52,250,STAY
769,77,8,8,59,250,STAY
777,85,8,8,66,250,STAY
785,93,8,8,73,250,STAY
393,293,8,8,80,250,STAY
401,301,8,8,87,250,STAY
409,309,8,8,94,250,STAY
417,317,8,8,101,250,STAY
425,325,8,8,108,250,STAY
433,333,8,8,115,250,STAY
441,341,8,8,122,250,STAY
449,349,8,8,129,250,STAY
457,357,8,8,136,250,STAY
465,365,8,8,143,250,STAY
473,373,8,8,150,250,STAY
481,381,8,8,157,250,STAY
489,389,8,8,164,250,STAY
497,397,8,8,171,250,STAY
505,405,8,8,178,250,STAY
513,413,8,8,185,250,STAY
521,421,8,8,192,250,STAY
529,429,8,8,199,250,STAY
537,437,8,8,206,250,STAY
545,445,8,8,213,250,STAY
553,453,8,8,220,250,STAY
561,461,8,8,227,250,STAY
569,469,8,8,234,250,STAY
577,477,8,8,241,250,STAY
585,485,8,8,248,250,STAY
593,493,8,8,255,250,STAY
601,501,8,8,262,250,STAY
609,509,8,8,269,250,STAY
617,517,8,8,276,250,STAY
625,525,8,8,283,250,STAY
633,533,8,8,290,250,STAY
641,541,8,8,297,250,STAY
649,549,8,8,304,250,STAY
657,557,8,8,311,250,STAY
665,565,8,8,318,250,STAY
673,573,8,8,325,250,STAY
681,581,8,8,332,250,STAY
689,589,8,-8,339,250,STAY
697,581,8,-8,346,250,STAY
705,573,8,-8,353,250,STAY
713,565,8,-8,360,250,STAY
721,557,8,-8,367,250,STAY
729,549,8,-8,374,250,STAY
737,541,8,-8,381,250,STAY
745,533,8,-8,388,250,STAY
753,525,8,-8,395,250,STAY
761,517,8,-8,402,250,STAY
769,509,8,-8,409,250,STAY
777,501,8,-8,416,250,STAY
785,493,8,-8,423,250,STAY
393,293,-8,8,430,250,STAY
385,301,-8,8,423,250,STAY
377,309,-8,8,430,250,STAY
369,317,-8,8,437,250,STAY
361,325,-8,8,444,250,STAY
353,333,-8,8,451,250,STAY
345,341,-8,8,458,250,STAY
337,349,-8,8,465,250,STAY
329,357,-8,8,472,250,DOWN
321,365,-8,8,479,257,DOWN
313,373,-8,8,486,264,DOWN
305,381,-8,8,493,271,DOWN
297,389,-8,8,500,278,DOWN
289,397,-8,8,500,285,DOWN
281,405,-8,8,500,292,DOWN
273,413,-8,8,500,299,DOWN
265,421,-8,8,500,306,DOWN
257,429,-8,8,500,313,DOWN
249,437,-8,8,500,320,DOWN
241,445,-8,8,500,327,STAY
233,453,-8,8,500,327,STAY
225,461,-8,8,500,327,STAY
217,469,-8,8,500,327,STAY
209,477,-8,8,500,327,STAY
201,485,-8,8,500,327,STAY
193,493,-8,8,500,327,STAY
185,501,-8,8,500,327,UP
177,509,-8,8,500,320,UP
169,517,-8,8,500,313,UP
161,525,-8,8,500,306,UP
153,533,-8,8,500,299,UP
145,541,-8,8,500,292,UP
137,549,-8,8,500,285,UP
129,557,-8,8,500,278,UP
121,565,-8,8,500,271,UP
113,573,-8,8,500,264,UP
105,581,-8,8,500,257,UP
97,589,-8,-8,500,250,UP
89,581,-8,-8,500,243,UP
81,573,-8,-8,500,236,UP
73,565,-8,-8,500,229,STAY
65,557,-8,-8,500,229,STAY
57,549,-8,-8,500,229,STAY
49,541,-8,-8,500,229,STAY
41,533,-8,-8,500,229,STAY
33,525,-8,-8,500,229,STAY
30,517,8,-8,500,229,STAY
38,509,8,-8,500,229,STAY
46,501,8,-8,500,229,STAY
54,493,8,-8,500,229,STAY
62,485,8,-8,500,229,STAY
70,477,8,-8,500,229,STAY
78,469,8,-8,500,229,STAY
86,461,8,-8,500,229,DOWN
94,453,8,-8,500,236,DOWN
102,445,8,-8,500,243,DOWN
110,437,8,-8,500,250,DOWN
118,429,8,-8,500,257,DOWN
126,421,8,-8,500,264,DOWN
134,413,8,-8,500,271,DOWN
142,405,8,-8,500,278,DOWN
150,397,8,-8,500,285,DOWN
158,389,8,-8,500,292,DOWN
166,381,8,-8,500,299,DOWN
174,373,8,-8,500,306,DOWN
182,365,8,-8,500,313,DOWN
190,357,8,-8,500,320,DOWN
198,349,8,-8,500,327,STAY
206,341,8,-8,500,327,STAY
214,333,8,-8,500,327,STAY
222,325,8,-8,500,327,STAY
230,317,8,-8,500,327,STAY
238,309,8,-8,493,327,STAY
246,301,8,-8,486,327,UP
254,293,8,-8,479,320,UP
262,285,8,-8,472,313,UP
270,277,8,-8,465,306,UP
278,269,8,-8,458,299,UP
286,261,8,-8,451,292,UP
294,253,8,-8,444,285,UP
302,245,8,-8,437,278,UP
310,237,8,-8,430,271,UP
318,229,8,-8,423,264,UP
326,221,8,-8,416,257,UP
334,213,8,-8,409,250,UP
342,205,8,-8,402,243,UP
350,197,8,-8,395,236,UP
358,189,8,-8,388,229,UP
366,181,8,-8,381,222,UP
374,173,8,-8,374,215,UP
382,165,8,-8,367,208,UP
390,157,8,-8,360,201,UP
398,149,8,-8,353,194,UP
406,141,8,-8,346,187,UP
414,133,8,-8,339,180,UP
422,125,8,-8,332,173,UP
430,117,8,-8,325,166,STAY
438,109,8,-8,318,166,STAY
446,101,8,-8,311,166,STAY
454,93,8,-8,304,166,STAY
462,85,8,-8,297,166,STAY
470,77,8,-8,290,166,STAY
478,69,8,-8,283,166,STAY
486,61,8,-8,276,166,STAY
494,53,8,-8,269,166,STAY
502,45,8,-8,262,166,STAY
510,37,8,-8,255,166,STAY
518,29,8,-8,248,166,STAY
526,21,8,-8,241,166,DOWN
534,13,8,-8,234,173,DOWN
542,5,8,-8,227,180,DOWN
550,-3,8,8,220,187,DOWN
558,5,8,8,213,194,DOWN
566,13,8,8,206,201,DOWN
574,21,8,8,199,208,DOWN
582,29,8,8,192,215,DOWN
590,37,8,8,185,222,DOWN
598,45,8,8,178,229,DOWN
606,53,8,8,171,236,DOWN
614,61,8,8,164,243,STAY
622,69,8,8,157,243,STAY
630,77,8,8,150,243,STAY
638,85,8,8,143,243,STAY
646,93,8,8,136,243,STAY
654,101,8,8,129,243,STAY
662,109,8,8,122,243,STAY
670,117,8,8,115,243,STAY
678,125,8,8,122,243,STAY
686,133,8,8,129,243,STAY
694,141,8,8,136,243,STAY
702,149,8,8,143,243,STAY
710,157,8,8,150,243,STAY
718,165,8,8,157,243,STAY
726,173,8,8,164,243,STAY
734,181,8,8,171,243,STAY
742,189,8,8,178,243,STAY
750,197,8,8,185,243,UP
758,205,8,8,192,236,UP
766,213,8,8,199,229,UP
756,221,-8,8,206,222,UP
748,229,-8,8,213,215,UP
740,237,-8,8,220,208,UP
732,245,-8,8,227,201,UP
724,253,-8,8,234,194,UP
716,261,-8,8,241,187,UP
708,269,-8,8,248,180,UP
